,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
266,Belarus,BLR,1968,Summer,8874552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
200,Belgium,BEL,1968,Summer,9618756.0,21376353118.100315,2222.361511,0.0,1.0,1.0,2.0,2.0,3.0,4.0,9.0,2.0792709576997276e-07,9.356719309648774e-07,9.356132867708432e-11,4.2102597904687946e-10,16.0,3.0,3206252.0,601172.25
201,Brazil,BRA,1968,Summer,91659246.0,33930457429.557503,370.1804118,0.0,1.0,2.0,3.0,0.0,1.0,5.0,6.0,3.272992230374664e-08,6.545984460749328e-08,8.841613780858256e-11,1.7683227561716512e-10,7.0,4.0,22914811.5,13094178.0
288,Brunei Darussalam,BRN,1968,Summer,122764.0,160819286.54434398,1309.987346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Burundi,BDI,1968,Summer,3352397.0,183200000.00323498,54.64746568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Cameroon,CMR,1968,Summer,6127193.0,1046191192.4069402,170.7455914,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.6320687140098248e-07,1.6320687140098248e-07,9.55848230474327e-10,9.55848230474327e-10,2.0,2.0,3063596.5,3063596.5
202,Canada,CAN,1968,Summer,20744000.0,71829810520.768,3462.678872,1.0,3.0,1.0,5.0,5.0,8.0,4.0,17.0,2.4103355187042037e-07,8.195140763594292e-07,6.960898217258084e-11,2.3667053938677487e-10,35.0,10.0,2074400.0,592685.7142857143
203,Canada,CAN,1968,Winter,20744000.0,71829810520.768,3462.678872,1.0,1.0,1.0,3.0,6.0,9.0,5.0,20.0,1.4462013112225222e-07,9.641342074816815e-07,4.176538930354851e-11,2.7843592869032337e-10,41.0,6.0,3457333.3333333335,505951.2195121951
256,Channel Islands,CHI,1968,Summer,118707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
249,China,CHN,1968,Summer,774510000.0,70846535058.2781,91.47271831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Colombia,COL,1968,Summer,19872503.0,5960212869.617565,299.9226051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Cote d'Ivoire,CIV,1968,Summer,5050106.0,1281281245.8107088,253.7137331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Cuba,CUB,1968,Summer,8550286.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,5.0,4.678206085737951e-07,5.847757607172438e-07,0.0,0.0,10.0,8.0,1068785.75,855028.6
289,Cyprus,CYP,1968,Summer,632452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
274,Czechia,CZE,1968,Summer,9876346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
257,Djibouti,DJI,1968,Summer,127668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
251,Dominican Republic,DOM,1968,Summer,4230877.0,1079100000.0352187,255.0535031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,Ecuador,ECU,1968,Summer,5825663.0,2582180794.3674016,443.2423905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,"Egypt, Arab Rep.",EGY,1968,Summer,33204629.0,5932242989.352932,178.657108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Eritrea,ERI,1968,Summer,1209602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
260,Estonia,EST,1968,Summer,1331214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
205,Ethiopia,ETH,1968,Summer,26778653.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,4.0,7.468635558330735e-08,1.493727111666147e-07,0.0,0.0,11.0,5.0,5355730.6,2434423.0
206,Finland,FIN,1968,Summer,4626469.0,8823033879.512568,1907.077272,1.0,2.0,1.0,4.0,10.0,10.0,12.0,32.0,8.645902523068889e-07,6.916722018455111e-06,4.5335879410915076e-10,3.626870352873206e-09,62.0,8.0,578308.625,74620.46774193548
207,Finland,FIN,1968,Winter,4626469.0,8823033879.512568,1907.077272,1.0,2.0,2.0,5.0,11.0,12.0,14.0,37.0,1.0807378153836112e-06,7.997459833838722e-06,5.666984926364385e-10,4.193568845509645e-09,71.0,9.0,514052.1111111111,65161.535211267605
208,France,FRA,1968,Summer,50817020.0,129785441493.24786,2553.975843,7.0,3.0,5.0,15.0,12.0,17.0,16.0,45.0,2.951766947373144e-07,8.855300842119432e-07,1.1557536675467857e-10,3.4672610026403574e-10,86.0,32.0,1588031.875,590895.5813953489
209,France,FRA,1968,Winter,50817020.0,129785441493.24786,2553.975843,4.0,3.0,2.0,9.0,16.0,20.0,18.0,54.0,1.7710601684238864e-07,1.0626361010543319e-06,6.934522005280714e-11,4.160713203168429e-10,106.0,20.0,2540851.0,479405.8490566038
290,Gabon,GAB,1968,Summer,573611.0,294468564.5488233,513.3593403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Georgia,GEO,1968,Summer,4042300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
211,Ghana,GHA,1968,Summer,8418152.0,1666910166.3215911,198.0137881,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.375818350630875e-07,0.0,1.199824705858892e-09,3.0,0.0,0.0,2806050.6666666665
248,Guyana,GUY,1968,Summer,685887.0,229749999.97219712,334.9677133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,"Hong Kong SAR, China",HKG,1968,Summer,3802700.0,2716964388.49792,714.4829696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Hungary,HUN,1968,Summer,10255815.0,0.0,0.0,10.0,10.0,12.0,32.0,26.0,25.0,24.0,75.0,3.1201810875098663e-06,7.3129244238512496e-06,0.0,0.0,152.0,62.0,165416.37096774194,67472.46710526316
253,Iceland,ISL,1968,Summer,201488.0,474399471.680176,2354.480027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
