,Unnamed: 0,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medal_score_per_GDP,Medal_score_per_capita
1070,1070,"Korea, Rep.",KOR,Summer,2020,31721298.91,51836239.0,0.6119521694079696,6,4,10,20,18,8,10,36,1.1348841704792598e-06,6.944948301515471e-07
1039,1039,Brazil,BRA,Summer,2020,6794489.159,213196304.0,0.0318696385984252,7,6,8,21,21,12,8,41,6.03430207047888e-06,1.92311026179891e-07
1041,1041,Canada,CAN,Summer,2020,43258263.870000005,38037204.0,1.1372619257188306,7,6,11,24,21,12,11,44,1.0171466920685736e-06,1.1567622057604445e-06
1054,1054,France,FRA,Summer,2020,39055282.93,67571107.0,0.5779879102765032,10,12,11,33,30,24,11,65,1.6643074924460674e-06,9.619496096164296e-07
1063,1063,Italy,ITA,Summer,2020,31911035.790000003,59438851.0,0.536871679938766,10,10,20,40,30,20,20,70,2.193598492404185e-06,1.1776809077281792e-06
1034,1034,Australia,AUS,Summer,2020,51720370.76,25655289.0,2.015973032305346,17,7,22,46,51,14,22,87,1.6821225123019595e-06,3.3911136218344687e-06
1066,1066,Japan,JPN,Summer,2020,39918167.56,126261000.0,0.316155959163954,27,14,17,58,81,28,17,126,3.156457515506255e-06,9.979328533751514e-07
1055,1055,United Kingdom,GBR,Summer,2020,40318557.57,67081000.0,0.601042882038133,22,20,22,64,66,40,22,128,3.1747167486775743e-06,1.9081409042799005e-06
1042,1042,China,CHN,Summer,2020,10408669.76,1411100000.0,0.0073762807455176,38,32,18,88,114,64,18,196,1.8830456198468156e-05,1.3889873148607468e-07
1093,1093,United States,USA,Summer,2020,63530633.48,331501080.0,0.1916453288176316,39,41,33,113,117,82,33,232,3.651781625521421e-06,6.998468903932379e-07
