Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals
Belgium,BEL,1992,10045158.0,0,1,2,3
Brazil,BRA,1992,155900790.0,2,1,0,3
Canada,CAN,1992,28371264.0,7,4,7,18
China,CHN,1992,1164970000.0,16,22,16,54
Colombia,COL,1992,33939039.0,0,0,1,1
Cuba,CUB,1992,10783748.0,14,6,11,31
Spain,ESP,1992,39157685.0,13,7,2,22
Estonia,EST,1992,1533091.0,1,0,1,2
Ethiopia,ETH,1992,52011554.0,1,0,2,3
Finland,FIN,1992,5041992.0,1,2,2,5
France,FRA,1992,58849943.0,8,5,16,29
United Kingdom,GBR,1992,57580402.0,5,3,12,20
Ghana,GHA,1992,16241548.0,0,0,1,1
Hungary,HUN,1992,10369341.0,11,12,7,30
Ireland,IRL,1992,3558430.0,1,1,0,2
Israel,ISR,1992,5123000.0,0,1,1,2
Italy,ITA,1992,56797087.0,6,5,8,19
Jamaica,JAM,1992,2434574.0,0,3,1,4
Japan,JPN,1992,124425000.0,3,8,11,22
Kenya,KEN,1992,24655723.0,2,4,2,8
"Korea, Rep.",KOR,1992,43747962.0,12,5,12,29
Lithuania,LTU,1992,3700114.0,1,0,1,2
Morocco,MAR,1992,25400676.0,1,1,1,3
Mexico,MEX,1992,84993164.0,0,1,0,1
Namibia,NAM,1992,1461687.0,0,2,0,2
Norway,NOR,1992,4286401.0,2,4,1,7
New Zealand,NZL,1992,3531700.0,1,4,5,10
Pakistan,PAK,1992,122375179.0,0,0,1,1
Peru,PER,1992,23047248.0,0,1,0,1
Poland,POL,1992,38363667.0,3,6,10,19
"Korea, Dem. People's Rep.",PRK,1992,21439991.0,4,0,5,9
Qatar,QAT,1992,471293.0,0,0,1,1
Romania,ROU,1992,22794284.0,4,6,8,18
Suriname,SUR,1992,419521.0,0,0,1,1
Sweden,SWE,1992,8668067.0,1,7,4,12
Thailand,THA,1992,56939020.0,0,0,1,1
Turkiye,TUR,1992,56302037.0,2,2,2,6
United States,USA,1992,256514000.0,37,34,37,108
Argentina,ARG,1996,35389362.0,0,2,1,3
Armenia,ARM,1996,3298898.0,1,1,0,2
Australia,AUS,1996,18224767.0,9,9,23,41
Austria,AUT,1996,7959017.0,0,1,2,3
Azerbaijan,AZE,1996,7763000.0,0,1,0,1
Burundi,BDI,1996,5930507.0,1,0,0,1
Belgium,BEL,1996,10156637.0,2,2,2,6
Belarus,BLR,1996,10159569.0,1,6,8,15
Brazil,BRA,1996,166037122.0,3,3,9,15
Canada,CAN,1996,29610218.0,3,11,8,22
China,CHN,1996,1217550000.0,16,22,12,50
Cuba,CUB,1996,10963031.0,9,8,8,25
Czechia,CZE,1996,10315241.0,4,3,4,11
Ecuador,ECU,1996,11775221.0,1,0,0,1
Spain,ESP,1996,39889852.0,5,6,6,17
Ethiopia,ETH,1996,59347649.0,2,0,1,3
Finland,FIN,1996,5124573.0,1,2,1,4
France,FRA,1996,59756533.0,15,7,15,37
United Kingdom,GBR,1996,58166950.0,1,8,6,15
Georgia,GEO,1996,4491699.0,0,0,2,2
"Hong Kong SAR, China",HKG,1996,6435500.0,1,0,0,1
Hungary,HUN,1996,10311238.0,7,4,10,21
India,IND,1996,983281218.0,0,0,1,1
Ireland,IRL,1996,3637510.0,3,0,1,4
Israel,ISR,1996,5692000.0,0,0,1,1
Italy,ITA,1996,56860281.0,13,10,12,35
Jamaica,JAM,1996,2532894.0,1,3,2,6
Japan,JPN,1996,125757000.0,3,6,5,14
Kazakhstan,KAZ,1996,15578227.0,3,4,4,11
Kenya,KEN,1996,27615736.0,1,4,3,8
"Korea, Rep.",KOR,1996,45524681.0,7,15,5,27
Lithuania,LTU,1996,3601613.0,0,0,1,1
Morocco,MAR,1996,26999093.0,0,0,2,2
Moldova,MDA,1996,2947293.0,0,1,1,2
Mexico,MEX,1996,91586555.0,0,0,1,1
Mozambique,MOZ,1996,16079553.0,0,0,1,1
Namibia,NAM,1996,1650066.0,0,2,0,2
Norway,NOR,1996,4381336.0,2,2,3,7
New Zealand,NZL,1996,3732000.0,3,2,1,6
Poland,POL,1996,38624370.0,7,5,5,17
"Korea, Dem. People's Rep.",PRK,1996,22614347.0,2,1,2,5
Romania,ROU,1996,22619004.0,4,7,9,20
