,Age,Sex,Height(cm),Weight(kg),Year,isTeamSport,GDP_per_capita,Population,GDP,%_of_World_Pop
Badminton,0.064645236362703,0.015824529762422223,0.08458515776095979,0.06920198752588046,0.03805457163964691,0.03715010436114988,0.133370556112459,0.2380922047421757,0.0911182078858352,0.22795744384676775
Freestyle Skiing,0.1780775561400868,0.02100784748040155,0.1438823929868946,0.17610092073645783,0.0750452386813249,0.0,0.09713283280641867,0.11177998616841434,0.10537063920533318,0.09160258579466819
Cycling Road,0.06534957710757502,0.005340607118944337,0.09197866240267423,0.14832347879810479,0.093533824210359,0.08847651427769462,0.10072072798006841,0.1627694303873712,0.13036651832024987,0.11314065939695855
Short Track Speed Skating,0.05749890467688153,0.02202383828829725,0.07511286220596024,0.07522839037776519,0.14392863994960384,0.15044265114019847,0.07664867659687756,0.15355363935328725,0.08517374994498966,0.1603886474661391
Water Polo,0.019322390570761856,0.03796616838794919,0.03728601145216252,0.043108932788882004,0.11734796316534127,0.0,0.20703836383230217,0.16495208604172548,0.17005937028393622,0.2029187134769392
Weightlifting,0.10745968118240355,0.0279823029087266,0.13016420562753914,0.11819276861317288,0.1303402696046742,0.0,0.10796845506395579,0.12663224484364355,0.10152275293207627,0.14973731922380798
Ski Jumping,0.08732073434741332,0.0020629141667187836,0.07962687762030735,0.10983074947134602,0.04996587749970533,0.055052871035803565,0.1068872506040108,0.20840284712255663,0.1061248998383377,0.19472497829380048
Equestrian Eventing,0.07077572932504307,0.005961654001714889,0.050532669051851,0.04851015464008168,0.0719336267330543,0.1166144126047102,0.14055372736550903,0.1634313770824275,0.13598903812611338,0.19569761106949493
Baseball,0.011359656492300729,0.0,0.0037058330718157334,0.006072325118750716,0.07005214267510271,0.0,0.2534860834997324,0.16991740952369744,0.19482303129817272,0.29058351832042756
Equestrian Jumping,0.08177670210076872,0.007094178572715547,0.05383974791291191,0.0464439392389758,0.06834651003902856,0.13240892205536026,0.11433654355788522,0.17727766693372282,0.12437910938759997,0.1940966802010313
Wrestling,0.14127860911492512,0.009861514318505136,0.1759090487301943,0.16137182361032643,0.07948381128652333,0.0,0.09324349336956575,0.11313761856322863,0.11159224057353749,0.11412184043319382
Luge,0.1366943109928196,0.0066578997966199845,0.11589780843139556,0.10067511036634476,0.0655571463475447,0.0652181391486892,0.12202219793459472,0.1275677418172489,0.10295155829808796,0.15675808686665466
Table Tennis,0.09942130426205473,0.013313313096230036,0.07115529344416675,0.06668802767598488,0.03554626977761724,0.05535312035405166,0.11590005379740828,0.1957340248731132,0.09653996044067198,0.25034863227870136
Nordic Combined,0.09682260375658763,0.0,0.07199579742006239,0.08271817715703032,0.07907753460011281,0.1421229346891363,0.13377542455678124,0.15040121843520762,0.10152626423013018,0.14156004515495163
Artistic Swimming,0.0594966525330373,0.0,0.0523070395894259,0.045038109122929645,0.03559611776133006,0.05581689738939759,0.1356568048942187,0.192767591797728,0.14151689704765733,0.28180388986427546
