Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals,Season
Sweden,SWE,1976,8222286.0,4,1,0,5,Summer
Sweden,SWE,1976,8222286.0,0,0,2,2,Winter
Thailand,THA,1976,41882128.0,0,0,1,1,Summer
Trinidad and Tobago,TTO,1976,1067696.0,1,0,0,1,Summer
United States,USA,1976,218035000.0,34,35,25,94,Summer
United States,USA,1976,218035000.0,3,3,4,10,Winter
"Venezuela, RB",VEN,1976,13566112.0,0,1,0,1,Summer
Australia,AUS,1980,14692000.0,2,2,5,9,Summer
Austria,AUT,1980,7549433.0,1,2,1,4,Summer
Austria,AUT,1980,7549433.0,3,2,2,7,Winter
Belgium,BEL,1980,9859242.0,1,0,0,1,Summer
Brazil,BRA,1980,122288383.0,2,0,2,4,Summer
Canada,CAN,1980,24515667.0,0,1,1,2,Winter
Cuba,CUB,1980,9809107.0,8,7,5,20,Summer
Spain,ESP,1980,37491165.0,1,3,2,6,Summer
Ethiopia,ETH,1980,34945469.0,2,0,2,4,Summer
Finland,FIN,1980,4779535.0,3,1,4,8,Summer
Finland,FIN,1980,4779535.0,1,5,3,9,Winter
France,FRA,1980,55052582.0,6,5,3,14,Summer
France,FRA,1980,55052582.0,0,0,1,1,Winter
United Kingdom,GBR,1980,56314216.0,5,7,9,21,Summer
United Kingdom,GBR,1980,56314216.0,1,0,0,1,Winter
Guyana,GUY,1980,778176.0,0,0,1,1,Summer
Hungary,HUN,1980,10711122.0,7,10,15,32,Summer
Hungary,HUN,1980,10711122.0,0,1,0,1,Winter
India,IND,1980,696828385.0,1,0,0,1,Summer
Ireland,IRL,1980,3412800.0,0,1,1,2,Summer
Italy,ITA,1980,56433883.0,8,3,4,15,Summer
Italy,ITA,1980,56433883.0,0,2,0,2,Winter
Jamaica,JAM,1980,2135546.0,0,0,3,3,Summer
Japan,JPN,1980,116807000.0,0,1,0,1,Winter
Lebanon,LBN,1980,2963702.0,0,0,1,1,Summer
Liechtenstein,LIE,1980,25003.0,2,2,0,4,Winter
Mexico,MEX,1980,67705186.0,0,1,3,4,Summer
Norway,NOR,1980,4085620.0,1,3,6,10,Winter
Poland,POL,1980,35574150.0,3,14,15,32,Summer
"Korea, Dem. People's Rep.",PRK,1980,17973650.0,0,3,2,5,Summer
Romania,ROU,1980,22207282.0,6,6,13,25,Summer
Sweden,SWE,1980,8310531.0,3,3,6,12,Summer
Sweden,SWE,1980,8310531.0,3,0,1,4,Winter
Uganda,UGA,1980,13284026.0,0,1,0,1,Summer
United States,USA,1980,227225000.0,6,4,2,12,Winter
"Venezuela, RB",VEN,1980,15210443.0,0,1,0,1,Summer
Australia,AUS,1984,15579391.0,4,8,12,24,Summer
Austria,AUT,1984,7561434.0,1,1,1,3,Summer
Austria,AUT,1984,7561434.0,0,0,1,1,Winter
Belgium,BEL,1984,9855372.0,1,1,2,4,Summer
Brazil,BRA,1984,133888775.0,1,5,2,8,Summer
Canada,CAN,1984,25607053.0,10,18,16,44,Summer
Canada,CAN,1984,25607053.0,2,1,1,4,Winter
China,CHN,1984,1036825000.0,15,8,9,32,Summer
Cote d'Ivoire,CIV,1984,9621405.0,0,1,0,1,Summer
Cameroon,CMR,1984,9508570.0,0,0,1,1,Summer
Colombia,COL,1984,28689032.0,0,1,0,1,Summer
Dominican Republic,DOM,1984,6282104.0,0,0,1,1,Summer
"Egypt, Arab Rep.",EGY,1984,48676443.0,0,1,0,1,Summer
Spain,ESP,1984,38330364.0,1,2,2,5,Summer
Finland,FIN,1984,4881803.0,4,2,6,12,Summer
Finland,FIN,1984,4881803.0,4,3,6,13,Winter
France,FRA,1984,56275701.0,5,7,16,28,Summer
France,FRA,1984,56275701.0,0,1,2,3,Winter
United Kingdom,GBR,1984,56422072.0,5,11,21,37,Summer
United Kingdom,GBR,1984,56422072.0,1,0,0,1,Winter
Ireland,IRL,1984,3532423.0,0,1,0,1,Summer
Iceland,ISL,1984,239511.0,0,0,1,1,Summer
Italy,ITA,1984,56576718.0,14,6,12,32,Summer
Italy,ITA,1984,56576718.0,2,0,0,2,Winter
Jamaica,JAM,1984,2264095.0,0,1,2,3,Summer
Japan,JPN,1984,120083000.0,10,8,14,32,Summer
Japan,JPN,1984,120083000.0,0,1,0,1,Winter
Kenya,KEN,1984,18753176.0,1,0,2,3,Summer
"Korea, Rep.",KOR,1984,40405956.0,6,6,7,19,Summer
Liechtenstein,LIE,1984,26420.0,0,0,2,2,Winter
Morocco,MAR,1984,21817271.0,2,0,0,2,Summer
Mexico,MEX,1984,73489654.0,2,3,1,6,Summer
Norway,NOR,1984,4140099.0,0,1,2,3,Summer
Norway,NOR,1984,4140099.0,3,2,4,9,Winter
New Zealand,NZL,1984,3227100.0,8,1,2,11,Summer
Pakistan,PAK,1984,94003867.0,1,0,0,1,Summer
Peru,PER,1984,19285646.0,0,1,0,1,Summer
Romania,ROU,1984,22640547.0,20,16,17,53,Summer
Sweden,SWE,1984,8336605.0,2,11,6,19,Summer
Sweden,SWE,1984,8336605.0,4,2,2,8,Winter
Syrian Arab Republic,SYR,1984,10183138.0,0,1,0,1,Summer
Thailand,THA,1984,49636724.0,0,1,0,1,Summer
Turkiye,TUR,1984,48106764.0,0,0,3,3,Summer
United States,USA,1984,235825000.0,83,61,30,174,Summer
United States,USA,1984,235825000.0,4,4,0,8,Winter
"Venezuela, RB",VEN,1984,16953234.0,0,0,3,3,Summer
Argentina,ARG,1988,31690792.0,0,1,1,2,Summer
Australia,AUS,1988,16532164.0,3,6,5,14,Summer
Austria,AUT,1988,7585317.0,1,0,0,1,Summer
Austria,AUT,1988,7585317.0,3,5,2,10,Winter
Belgium,BEL,1988,9901664.0,0,0,2,2,Summer
Brazil,BRA,1988,145253973.0,1,2,3,6,Summer
Canada,CAN,1988,26791747.0,3,2,5,10,Summer
Canada,CAN,1988,26791747.0,0,2,3,5,Winter
Channel Islands,CHI,1988,137765.0,0,1,0,1,Summer
China,CHN,1988,1101630000.0,5,11,12,28,Summer
Colombia,COL,1988,31256727.0,0,0,1,1,Summer
Djibouti,DJI,1988,482337.0,0,0,1,1,Summer
Spain,ESP,1988,38766939.0,1,1,2,4,Summer
Finland,FIN,1988,4946481.0,1,1,2,4,Summer
Finland,FIN,1988,4946481.0,4,1,2,7,Winter
France,FRA,1988,57472651.0,6,4,6,16,Summer
France,FRA,1988,57472651.0,1,0,1,2,Winter
United Kingdom,GBR,1988,56928327.0,5,10,9,24,Summer
Hungary,HUN,1988,10596487.0,11,6,6,23,Summer
Italy,ITA,1988,56629288.0,6,4,4,14,Summer
Italy,ITA,1988,56629288.0,2,1,2,5,Winter
Jamaica,JAM,1988,2354805.0,0,2,0,2,Summer
Japan,JPN,1988,122578000.0,4,3,7,14,Summer
Japan,JPN,1988,122578000.0,0,0,1,1,Winter
Kenya,KEN,1988,21626122.0,5,2,2,9,Summer
"Korea, Rep.",KOR,1988,42031247.0,12,10,11,33,Summer
Liechtenstein,LIE,1988,27944.0,0,0,1,1,Winter
Morocco,MAR,1988,23720590.0,1,0,2,3,Summer
Mexico,MEX,1988,78892015.0,0,0,2,2,Summer
Norway,NOR,1988,4209488.0,2,3,0,5,Summer
Norway,NOR,1988,4209488.0,0,3,2,5,Winter
New Zealand,NZL,1988,3283400.0,3,2,8,13,Summer
Pakistan,PAK,1988,107967838.0,0,0,1,1,Summer
Peru,PER,1988,21143799.0,0,1,0,1,Summer
Poland,POL,1988,37824487.0,2,5,9,16,Summer
Romania,ROU,1988,23057662.0,7,11,6,24,Summer
Senegal,SEN,1988,7113636.0,0,1,0,1,Summer
Suriname,SUR,1988,402139.0,1,0,0,1,Summer
Sweden,SWE,1988,8436489.0,0,4,7,11,Summer
Sweden,SWE,1988,8436489.0,4,0,2,6,Winter
Thailand,THA,1988,53410965.0,0,0,1,1,Summer
Turkiye,TUR,1988,52275890.0,1,1,0,2,Summer
United States,USA,1988,244499000.0,36,31,27,94,Summer
