Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals,Season
Syrian Arab Republic,SYR,2020,20772595.0,0,0,1,1,Summer
Thailand,THA,2020,71475664.0,1,0,1,2,Summer
Turkmenistan,TKM,2020,6250438.0,0,1,0,1,Summer
Tunisia,TUN,2020,12161723.0,1,1,0,2,Summer
Turkiye,TUR,2020,84135428.0,2,2,9,13,Summer
Uganda,UGA,2020,44404611.0,2,1,1,4,Summer
Ukraine,UKR,2020,44132049.0,1,6,12,19,Summer
United States,USA,2020,331501080.0,39,41,33,113,Summer
Uzbekistan,UZB,2020,34232050.0,3,0,2,5,Summer
"Venezuela, RB",VEN,2020,28490453.0,1,3,0,4,Summer
