Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Pakistan,PAK,1984,331.3887658,1,0,0,1,Summer
Peru,PER,1984,911.7892245,0,1,0,1,Summer
Romania,ROU,1984,,20,16,17,53,Summer
Sweden,SWE,1984,13099.02083,2,11,6,19,Summer
Syrian Arab Republic,SYR,1984,1885.019531,0,1,0,1,Summer
Thailand,THA,1984,842.0699352,0,1,0,1,Summer
Turkiye,TUR,1984,1247.016105,0,0,3,3,Summer
United States,USA,1984,17121.22548,83,61,30,174,Summer
"Venezuela, RB",VEN,1984,3539.754463,0,0,3,3,Summer
Argentina,ARG,1988,3982.444402,0,1,1,2,Summer
Australia,AUS,1988,14284.51581,3,6,5,14,Summer
Austria,AUT,1988,17578.61894,1,0,0,1,Summer
Belgium,BEL,1988,16391.09383,0,0,2,2,Summer
Brazil,BRA,1988,1781.817876,1,2,3,6,Summer
Canada,CAN,1988,18936.9641,3,2,5,10,Summer
Channel Islands,CHI,1988,,0,1,0,1,Summer
China,CHN,1988,283.5376952,5,11,12,28,Summer
Colombia,COL,1988,1254.531546,0,0,1,1,Summer
Djibouti,DJI,1988,820.5767723,0,0,1,1,Summer
Spain,ESP,1988,9703.123838,1,1,2,4,Summer
Finland,FIN,1988,22047.79332,1,1,2,4,Summer
France,FRA,1988,17727.51083,6,4,6,16,Summer
United Kingdom,GBR,1988,15987.16808,5,10,9,24,Summer
Hungary,HUN,1988,,11,6,6,23,Summer
Italy,ITA,1988,15744.66126,6,4,4,14,Summer
Jamaica,JAM,1988,1625.74427,0,2,0,2,Summer
Japan,JPN,1988,25059.00743,4,3,7,14,Summer
Kenya,KEN,1988,386.3559486,5,2,2,9,Summer
"Korea, Rep.",KOR,1988,4748.629608,12,10,11,33,Summer
Morocco,MAR,1988,1076.092773,1,0,2,3,Summer
Mexico,MEX,1988,2302.027017,0,0,2,2,Summer
Norway,NOR,1988,24207.28147,2,3,0,5,Summer
New Zealand,NZL,1988,13759.15563,3,2,8,13,Summer
Pakistan,PAK,1988,356.3352154,0,0,1,1,Summer
Peru,PER,1988,730.2097626,0,1,0,1,Summer
Poland,POL,1988,,2,5,9,16,Summer
Romania,ROU,1988,1769.889931,7,11,6,24,Summer
Senegal,SEN,1988,902.2699219,0,1,0,1,Summer
