Result_ID,Event_Title,Edition_ID,Sport,Result_Location,Result_Detail,Start_Date,End_Date,Time,Year,Season
19000360,"100 metres, Men",61,Athletics,"Japan National Stadium, Kasumigaoka, Shinjuku, Tokyo",na,2021-07-31,2021-08-01,na,2020,Summer
115354,"Foil, Individual, Women",24,Fencing,"Georgia World Congress Center, Atlanta, Georgia",na,1996-07-22,,na,1996,Summer
63462,"Pole Vault, Men",22,Athletics,"Ol-lim-pik Ju-gyeong-gi-jang, Seoul Sports Complex, Seoul",na,1988-09-26,1988-09-28,na,1988,Summer
1017,"500 metres, Women",37,Speed Skating,"Eisschnellaufbahn im Olympiaeisstadion, Innsbruck",na,1964-01-30,,12:25,1964,Winter
19004482,"Heavyweight (>67 kilograms), Women",61,Taekwondo,"Makuhari Messe, 2-1, Nakase, Mihama-ku, Chiba, Chiba Prefecture, Japan",na,2021-07-27,,na,2020,Summer
302377,"Marathon, Men",54,Athletics,"The Mall, London",na,2012-08-12,,11:00,2012,Summer
260944,"Group, Women",53,Rhythmic Gymnastics,"Beijing Gongye Daxue Tiyuguan, Beijing",na,2008-08-21,2008-08-24,na,2008,Summer
331126,"Super-Heavyweight (>105 kilograms), Men",54,Weightlifting,"ExCeL, Newham, London (South Arena 3)",na,2012-08-07,,"15:30, 19:00",2012,Summer
46056,"Doubles, Women",26,Tennis,"Olympiako Kentro Antisfairises, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi",na,2004-08-15,2004-08-22,na,2004,Summer
1177,"Slalom, Men",33,Alpine Skiing,"Suvretta, St. Moritz",Marc Hodler,1948-02-05,,09:00,1948,Winter
30123,"Middle-Heavyweight (≤91 kilograms), Men",24,Weightlifting,"Georgia World Congress Center, Atlanta, Georgia (Hall E)",na,1996-07-27,,na,1996,Summer
1551,"20 kilometres, Men",44,Biathlon,Les Saisies,"Course Length: 19,437 mHeight Differential: 80 mMaximum Climb: 65 mShooting 1: Prone at 4.0 km, 50 m rangeShooting 2: Standing at 8.0 km, 50 m rangeShooting 3: Prone at 12.0 km, 50 m rangeShooting 4: Standing at 16.0 km, 50 m rangeTotal Climbing: 728 m",1992-02-20,,10:00,1992,Winter
9000642,"Team, Mixed",60,Figure Skating,"Gangneung Ice Arena, Gangneung Olympic Park, Coastal Cluster, Gangneung",na,2018-02-09,2018-02-12,na,2018,Winter
19020166,"Team Aerials, Mixed",62,Freestyle Skiing,"Genting Snow Park, Chongli District, Zhangjiakou City, Hebei Province",CHN,2022-02-10,,na,2022,Winter
255783,"Kayak Singles, 500 metres, Men",22,Canoe Sprint,"Mi-sa-ri Jo-jeong-gyeong-gi-jang, Hanam",na,1988-09-26,1988-09-30,na,1988,Summer
255897,"Kayak Singles, 500 metres, Women",22,Canoe Sprint,"Mi-sa-ri Jo-jeong-gyeong-gi-jang, Hanam",na,1988-09-26,1988-09-30,na,1988,Summer
5503,"400 metres Freestyle, Men",15,Swimming,"Stadio Olimpico del Nuoto, Roma",na,1960-08-30,1960-08-31,na,1960,Summer
350424,"Normal Hill / 10 km, Individual, Men",58,Nordic Combined,"Kompleks Dlya Pryzhkov Na Lyzhakh s Tramplina ""Russkiye Gorki"", Mountain Cluster, Esto-Sadok",na,2014-02-12,,na,2014,Winter
157985,"Eights, Men",11,Rowing,"Regattabahn, Grünau, Berlin",na,1936-08-12,1936-08-14,na,1936,Summer
62103,"Discus Throw, Women",19,Athletics,"Stade olympique, Parc olympique, Montréal, Québec",na,1976-07-28,1976-07-29,na,1976,Summer
59061,"Hammer Throw, Men",13,Athletics,"Helsingin Olympiastadion, Helsinki",na,1952-07-24,,na,1952,Summer
54024,"Springboard, Men",6,Diving,"Simstadion, Djurgårdsbrunnsviken, Stockholm",na,1912-07-08,1912-07-09,na,1912,Summer
356127,"Skiff (49er), Men",59,Sailing,"Marina da Glória, Glória, Rio de Janeiro",na,2016-08-12,2016-08-18,na,2016,Summer
6195,"400 metres Freestyle, Men",18,Swimming,"Schwimmhalle, Olympiapark, München",na,1972-09-01,,na,1972,Summer
925845,"Triple Jump - Olympic Irish Sports, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-07-20,,na,1904,Summer
925762,"1 mile - AAU Championship, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-06-04,,na,1904,Summer
51629,"Running Target, Single Shot, Team, Men",8,Shooting,"Le Stand de Versailles, Versailles",na,1924-07-02,,na,1924,Summer
9564,"Three Person Keelboat (Dragon), Open",13,Sailing,"Harmaja, Helsinki",na,1952-07-20,1952-07-28,na,1952,Summer
70657,"Horizontal Bar, Men",23,Artistic Gymnastics,"Palau Sant Jordi, Barcelona",na,1992-07-29,1992-08-02,na,1992,Summer
57186,"3,000 metres, Team, Men",7,Athletics,"Olympisch Stadion, Antwerpen",na,1920-08-21,1920-08-22,na,1920,Summer
57191,"High Jump, Men",7,Athletics,"Olympisch Stadion, Antwerpen",na,1920-08-15,1920-08-17,na,1920,Summer
925228,"Concours d'honneur, Men",2,Fishing,"Île des Cygnes, Paris",na,1900-08-05,1900-08-08,na,1900,Summer
70135,"Individual All-Around, Men",12,Artistic Gymnastics,"Empress Hall, Earls Court Exhibition Centre, Kensington, London",na,1948-08-12,1948-08-13,9:00,1948,Summer
925065,"6-hour race, Professionals, Men",2,Athletics,"Vélodrome Municipal de Vincennes, Paris",na,1900-07-01,,na,1900,Summer
