Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Azerbaijan,1960,AZE,0.0,0.0,0.0,0.0,0,,3894500.0,0.0,0.0,0.0,0.0
Jamaica,1960,JAM,0.0,0.0,0.0,0.0,0,425645.4265,1642331.0,0.0,0.0,0.0,0.0
France,1960,FRA,0.0,2.0,3.0,5.0,Summer,1333881.5729999999,46649927.0,0.0,2.0,3.0,5.0
France,1960,FRA,1.0,0.0,2.0,3.0,Winter,1333881.5729999999,46649927.0,1.0,2.0,5.0,8.0
Italy,1960,ITA,13.0,10.0,13.0,36.0,Summer,804492.6233,50199700.0,13.0,10.0,14.0,37.0
Gabon,1960,GAB,0.0,0.0,0.0,0.0,0,275585.3399,513340.0,0.0,0.0,0.0,0.0
Belarus,1964,BLR,0.0,0.0,0.0,0.0,0,,8524224.0,0.0,0.0,0.0,0.0
Senegal,1964,SEN,0.0,0.0,0.0,0.0,0,324436.74399999995,3664599.0,0.0,0.0,0.0,0.0
Canada,1964,CAN,1.0,1.0,1.0,3.0,Winter,2555111.146,19325000.0,3.0,3.0,2.0,8.0
Canada,1964,CAN,1.0,2.0,1.0,4.0,Summer,2555111.146,19325000.0,4.0,5.0,3.0,12.0
Peru,1964,PER,0.0,0.0,0.0,0.0,0,380772.52729999996,11442301.0,0.0,0.0,0.0,0.0
Belgium,1964,BEL,2.0,0.0,1.0,3.0,Summer,1701846.276,9378113.0,2.0,2.0,3.0,7.0
Singapore,1964,SGP,0.0,0.0,0.0,0.0,0,485533.8582,1841600.0,0.0,1.0,0.0,1.0
Serbia,1964,SRB,0.0,0.0,0.0,0.0,0,,6765000.0,0.0,0.0,0.0,0.0
Qatar,1964,QAT,0.0,0.0,0.0,0.0,0,,57531.0,0.0,0.0,0.0,0.0
Cameroon,1964,CMR,0.0,0.0,0.0,0.0,0,139780.5817,5556209.0,0.0,0.0,0.0,0.0
Romania,1964,ROU,2.0,4.0,6.0,12.0,Summer,,18919126.0,5.0,5.0,12.0,22.0
Burundi,1964,BDI,0.0,0.0,0.0,0.0,0,85964.72463000001,3033221.0,0.0,0.0,0.0,0.0
