,Country_Name,Year
772,"Korea, Dem. People's Rep.",2002
773,"Korea, Dem. People's Rep.",2004
774,"Korea, Dem. People's Rep.",2006
775,"Korea, Dem. People's Rep.",2008
776,"Korea, Dem. People's Rep.",2010
777,"Korea, Dem. People's Rep.",2012
778,"Korea, Dem. People's Rep.",2014
779,"Korea, Dem. People's Rep.",2016
780,"Korea, Dem. People's Rep.",2018
781,"Korea, Dem. People's Rep.",2020
782,Trinidad and Tobago,1960
783,Trinidad and Tobago,1964
784,Trinidad and Tobago,1968
785,Trinidad and Tobago,1972
786,Trinidad and Tobago,1976
787,Trinidad and Tobago,1980
788,Trinidad and Tobago,1984
789,Trinidad and Tobago,1988
790,Trinidad and Tobago,1992
791,Trinidad and Tobago,1994
792,Trinidad and Tobago,1996
793,Trinidad and Tobago,1998
794,Trinidad and Tobago,2000
795,Trinidad and Tobago,2002
796,Trinidad and Tobago,2004
797,Trinidad and Tobago,2006
798,Trinidad and Tobago,2008
799,Trinidad and Tobago,2010
800,Trinidad and Tobago,2012
801,Trinidad and Tobago,2014
802,Trinidad and Tobago,2016
803,Trinidad and Tobago,2018
804,Trinidad and Tobago,2020
805,Tunisia,1960
806,Tunisia,1964
807,Tunisia,1968
808,Tunisia,1972
809,Tunisia,1976
810,Tunisia,1980
811,Tunisia,1984
812,Tunisia,1988
813,Tunisia,1992
814,Tunisia,1994
815,Tunisia,1996
816,Tunisia,1998
817,Tunisia,2000
818,Tunisia,2002
819,Tunisia,2004
820,Tunisia,2006
821,Tunisia,2008
822,Tunisia,2010
823,Tunisia,2012
824,Tunisia,2014
825,Tunisia,2016
826,Tunisia,2018
827,Tunisia,2020
828,Cameroon,1960
829,Cameroon,1964
830,Cameroon,1968
831,Cameroon,1972
832,Cameroon,1976
833,Cameroon,1980
834,Cameroon,1984
835,Cameroon,1988
836,Cameroon,1992
837,Cameroon,1994
838,Cameroon,1996
839,Cameroon,1998
840,Cameroon,2000
841,Cameroon,2002
842,Cameroon,2004
843,Cameroon,2006
844,Cameroon,2008
845,Cameroon,2010
846,Cameroon,2012
847,Cameroon,2014
848,Cameroon,2016
849,Cameroon,2018
850,Cameroon,2020
851,Jamaica,1960
852,Jamaica,1964
853,Jamaica,1968
854,Jamaica,1972
855,Jamaica,1976
856,Jamaica,1980
857,Jamaica,1984
858,Jamaica,1988
859,Jamaica,1992
860,Jamaica,1994
861,Jamaica,1996
862,Jamaica,1998
863,Jamaica,2000
864,Jamaica,2002
865,Jamaica,2004
866,Jamaica,2006
867,Jamaica,2008
868,Jamaica,2010
869,Jamaica,2012
870,Jamaica,2014
871,Jamaica,2016
872,Jamaica,2018
873,Jamaica,2020
874,Uganda,1960
875,Uganda,1964
876,Uganda,1968
877,Uganda,1972
878,Uganda,1976
879,Uganda,1980
880,Uganda,1984
881,Uganda,1988
882,Uganda,1992
883,Uganda,1994
884,Uganda,1996
885,Uganda,1998
886,Uganda,2000
887,Uganda,2002
888,Uganda,2004
889,Uganda,2006
890,Uganda,2008
891,Uganda,2010
892,Uganda,2012
893,Uganda,2014
894,Uganda,2016
895,Uganda,2018
896,Uganda,2020
897,Colombia,1960
898,Colombia,1964
899,Colombia,1968
900,Colombia,1972
901,Colombia,1976
902,Colombia,1980
903,Colombia,1984
904,Colombia,1988
905,Colombia,1992
906,Colombia,1994
907,Colombia,1996
908,Colombia,1998
909,Colombia,2000
910,Colombia,2002
911,Colombia,2004
912,Colombia,2006
913,Colombia,2008
914,Colombia,2010
915,Colombia,2012
916,Colombia,2014
917,Colombia,2016
918,Colombia,2018
919,Colombia,2020
920,Lebanon,1960
921,Lebanon,1964
922,Lebanon,1968
923,Lebanon,1972
924,Lebanon,1976
925,Lebanon,1980
926,Lebanon,1984
927,Lebanon,1988
928,Lebanon,1992
929,Lebanon,1994
930,Lebanon,1996
931,Lebanon,1998
932,Lebanon,2000
933,Lebanon,2002
934,Lebanon,2004
935,Lebanon,2006
936,Lebanon,2008
937,Lebanon,2010
938,Lebanon,2012
939,Lebanon,2014
940,Lebanon,2016
941,Lebanon,2018
942,Lebanon,2020
943,Liechtenstein,1960
944,Liechtenstein,1964
945,Liechtenstein,1968
946,Liechtenstein,1972
947,Liechtenstein,1976
948,Liechtenstein,1980
949,Liechtenstein,1984
950,Liechtenstein,1988
951,Liechtenstein,1992
952,Liechtenstein,1994
953,Liechtenstein,1996
954,Liechtenstein,1998
955,Liechtenstein,2000
956,Liechtenstein,2002
957,Liechtenstein,2004
958,Liechtenstein,2006
