,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medals_per_GDP
89,"Korea, Rep.",KOR,Summer,1964,123606.83690000001,27984155.0,0.0044170294547039215,0,2,1,3,0,6,3,9,7.281150643213328e-05
90,Mexico,MEX,Summer,1964,485800.05,41333878.0,0.011753072140968723,0,0,1,1,0,0,3,3,6.17538017956153e-06
91,Norway,NOR,Winter,1964,1937884.614,3694339.0,0.5245551677850896,3,6,6,15,9,18,18,45,2.3221196801348875e-05
92,New Zealand,NZL,Summer,1964,2813546.9760000003,2585400.0,1.088244362961244,3,0,2,5,9,0,6,15,5.331348695419827e-06
93,Pakistan,PAK,Summer,1964,102961.2072,50552592.0,0.0020367146990207742,0,1,0,1,0,3,0,3,2.9137187505703603e-05
94,Poland,POL,Summer,1964,0.0,31139450.0,0.0,7,6,10,23,21,18,30,69,0.0
95,"Korea, Dem. People's Rep.",PRK,Winter,1964,0.0,12787523.0,0.0,0,1,0,1,0,3,0,3,0.0
96,Romania,ROU,Summer,1964,0.0,18919126.0,0.0,2,4,6,12,6,12,18,36,0.0
97,Sweden,SWE,Summer,1964,2941048.8989999997,7661354.0,0.3838810866851995,2,2,4,8,6,6,12,24,8.160353949966746e-06
98,Sweden,SWE,Summer,1964,2941048.8989999997,7661354.0,0.3838810866851995,2,2,4,8,6,6,12,24,8.160353949966746e-06
99,Sweden,SWE,Winter,1964,2941048.8989999997,7661354.0,0.3838810866851995,3,3,1,7,9,9,3,21,7.140309706220903e-06
100,Sweden,SWE,Winter,1964,2941048.8989999997,7661354.0,0.3838810866851995,3,3,1,7,9,9,3,21,7.140309706220903e-06
101,Trinidad and Tobago,TTO,Summer,1964,779389.2566,913399.0,0.8532845520960719,0,1,2,3,0,3,6,9,1.1547503283868078e-05
102,Tunisia,TUN,Summer,1964,0.0,4389417.0,0.0,0,1,1,2,0,3,3,6,0.0
103,Turkiye,TUR,Summer,1964,365133.8692,30612821.0,0.011927481926608464,2,3,1,6,6,9,3,18,4.929698808669157e-05
104,United States,USA,Summer,1964,3573941.185,191889000.0,0.01862504460912298,36,26,28,90,108,78,84,270,7.554685038836194e-05
105,United States,USA,Summer,1964,3573941.185,191889000.0,0.01862504460912298,36,26,28,90,108,78,84,270,7.554685038836194e-05
106,United States,USA,Winter,1964,3573941.185,191889000.0,0.01862504460912298,1,2,4,7,3,6,12,21,5.87586614131704e-06
107,United States,USA,Winter,1964,3573941.185,191889000.0,0.01862504460912298,1,2,4,7,3,6,12,21,5.87586614131704e-06
108,Argentina,ARG,Summer,1968,1143810.428,23112971.0,0.04948781478590528,0,0,2,2,0,0,6,6,5.245624496090011e-06
109,Australia,AUS,Summer,1968,2723999.484,12009000.0,0.226829834624032,5,7,5,17,15,21,15,51,1.87224705068997e-05
110,Austria,AUT,Summer,1968,1677673.528,7415403.0,0.22624171983639998,0,2,2,4,0,6,6,12,7.152762322181673e-06
111,Austria,AUT,Summer,1968,1677673.528,7415403.0,0.22624171983639998,0,2,2,4,0,6,6,12,7.152762322181673e-06
112,Austria,AUT,Winter,1968,1677673.528,7415403.0,0.22624171983639998,3,4,4,11,9,12,12,33,1.96700963859996e-05
113,Austria,AUT,Winter,1968,1677673.528,7415403.0,0.22624171983639998,3,4,4,11,9,12,12,33,1.96700963859996e-05
114,Belgium,BEL,Summer,1968,2222361.511,9618756.0,0.23104458736659916,0,1,1,2,0,3,3,6,2.699830774742031e-06
115,Brazil,BRA,Summer,1968,370180.4118,91659246.0,0.0040386587055276455,0,1,2,3,0,3,6,9,2.431246957730031e-05
116,Canada,CAN,Summer,1968,3462678.872,20744000.0,0.16692435750096413,1,3,1,5,3,9,3,15,4.331906178564051e-06
117,Canada,CAN,Summer,1968,3462678.872,20744000.0,0.16692435750096413,1,3,1,5,3,9,3,15,4.331906178564051e-06
118,Canada,CAN,Winter,1968,3462678.872,20744000.0,0.16692435750096413,1,1,1,3,3,3,3,9,2.5991437071384307e-06
119,Canada,CAN,Winter,1968,3462678.872,20744000.0,0.16692435750096413,1,1,1,3,3,3,3,9,2.5991437071384307e-06
120,Cameroon,CMR,Summer,1968,170745.5914,6127193.0,0.027866853777904498,0,1,0,1,0,3,0,3,1.756999976047405e-05
121,Cuba,CUB,Summer,1968,0.0,8550286.0,0.0,0,4,0,4,0,12,0,12,0.0
