,Country_Name,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
121,Spain,0,1,1,1,1,3,3,4,5,5,6,7,7,8,8,8,9,11,17,22,26,37,37,54,54,65,65,85,85,104,104,124,124,141,143,160,161
122,Sri Lanka,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
123,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
124,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
125,Sweden,0,1,1,26,91,155,170,185,198,212,240,259,272,278,285,291,301,304,312,325,333,341,344,352,355,367,374,381,395,400,411,419,434,445,459,468,486
126,Switzerland,3,13,13,13,14,25,39,48,49,59,75,83,89,93,97,102,108,112,115,121,130,132,141,148,155,164,174,179,191,198,207,211,222,229,244,257,272
127,Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4
128,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4
129,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,6,6,9,9,17,17,23,23,27,27,33,33,35,35
130,The Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,4,4,7,7,9,9,11,11,12,12,14,14,16,16
131,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
132,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,1,3,3,3,6,6,6,7,7,7,7,7,7,9,9,11,11,12,12,14,14,18,18,19,19,19,19
134,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,10,10,13,13,15,15
135,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
136,Türkiye,0,0,0,0,0,0,0,0,0,2,14,17,24,33,39,41,42,42,42,45,47,53,53,59,59,64,64,74,74,79,79,82,82,90,90,103,103
137,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,11,11
138,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,26,49,49,71,73,95,95,114,116,127,128,147,148
139,Unified Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
140,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2
141,United Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
142,United Republic of Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
143,United States,20,68,316,363,427,522,573,603,664,694,740,783,823,863,911,968,1019,1071,1083,1174,1224,1283,1296,1397,1410,1503,1534,1635,1660,1772,1809,1913,1941,2062,2085,2198,2223
144,United States Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,Uruguay,0,0,0,0,0,0,1,2,3,3,5,7,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
146,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,7,12,12,16,16,19,19,32,32,37,37
147,Venezuela,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,8,8,8,8,8,8,8,8,10,10,11,11,12,12,15,15,19,19
148,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,5,5,5,5
149,West Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,62,67,98,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
150,West Indies Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
151,Yugoslavia,0,0,0,0,0,0,2,7,7,8,10,13,16,18,23,31,36,44,53,62,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
152,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
153,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,8,8,8,8,8,8,8,8
