,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita,Y_Score/Population,Y_Score/GDP,Population to Gold Medal,Population to Silver Medal,Population to Bronze Medal,Population to Weight Score,GDP to Gold Medal,GDP to Silver Medal,GDP to Bronze Medal,GDP to Weight Score
48,Japan,JPN,1964,Summer,96903000.0,81749006377.28549,843.6168785,16.0,5.0,8.0,29.0,20.0,12.0,15.0,47.0,2.992683405054539e-07,4.850211035778046e-07,3.547443728693178e-10,5.749305353399285e-10,99.0,66.0,1468227.2727272727,978818.1818181818,6.810934645986192e-07,8.073492623922404e-10,6056437.5,19380600.0,12112875.0,1468227.2727272727,5109312898.580343,16349801275.457098,10218625797.160686,1238621308.74675
49,Kenya,KEN,1964,Summer,9047387.0,998759333.8896496,110.3920208,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1052915057131968e-07,1.1052915057131968e-07,1.0012422072748182e-09,1.0012422072748182e-09,1.0,1.0,9047387.0,9047387.0,1.1052915057131967e-07,1.0012422072748182e-09,0.0,0.0,9047387.0,9047387.0,0.0,0.0,998759333.8896496,998759333.8896496
50,"Korea, Rep.",KOR,1964,Summer,27984155.0,3459032882.8693194,123.6068369,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,1.072035228506989e-07,1.072035228506989e-07,8.672944437323344e-10,8.672944437323344e-10,5.0,5.0,5596831.0,5596831.0,1.7867253808449817e-07,1.4454907395538907e-09,0.0,13992077.5,27984155.0,5596831.0,0.0,1729516441.4346595,3459032882.8693194,691806576.5738639
51,Mexico,MEX,1964,Summer,41333878.0,20079999999.0939,485.80005,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.419322958276501e-08,4.838645916553004e-08,4.980079681499624e-11,9.960159362999247e-11,2.0,1.0,41333878.0,20666939.0,2.419322958276501e-08,4.9800796814996235e-11,0.0,0.0,41333878.0,41333878.0,0.0,0.0,20079999999.0939,20079999999.0939
52,New Zealand,NZL,1964,Summer,2585400.0,7274144351.750401,2813.546976,3.0,0.0,2.0,5.0,5.0,0.0,3.0,8.0,1.9339367215904696e-06,3.094298754544751e-06,6.873660678450562e-10,1.0997857085520903e-09,18.0,11.0,235036.36363636365,143633.33333333334,4.254660787499033e-06,1.5122053492591242e-09,861800.0,0.0,1292700.0,235036.36363636365,2424714783.9168,0.0,3637072175.8752,661285850.1591274
53,Norway,NOR,1964,Winter,3694339.0,7159202707.000146,1937.884614,3.0,6.0,6.0,15.0,7.0,9.0,6.0,22.0,4.060266261434048e-06,5.955057183436604e-06,2.095205376058601e-09,3.072967884885949e-09,45.0,27.0,136827.37037037036,82096.42222222222,7.3084792705812865e-06,3.771369676905483e-09,1231446.3333333333,615723.1666666666,615723.1666666666,136827.37037037036,2386400902.333382,1193200451.166691,1193200451.166691,265155655.81482023
54,Pakistan,PAK,1964,Summer,50552592.0,5204955899.409062,102.9612072,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.9781379360330332e-08,5.9344138080990984e-08,1.9212458651446664e-10,5.763737595434e-10,6.0,2.0,25276296.0,8425432.0,3.956275872066065e-08,3.842491730289333e-10,0.0,50552592.0,0.0,25276296.0,0.0,5204955899.409062,0.0,2602477949.704531
55,Sweden,SWE,1964,Summer,7661354.0,22532416746.549244,2941.048899,2.0,2.0,4.0,8.0,6.0,6.0,9.0,21.0,1.0442018473496983e-06,2.741029849292958e-06,3.5504402789927853e-10,9.319905732356062e-10,39.0,14.0,547239.5714285715,196444.9743589744,1.827353232861972e-06,6.213270488237373e-10,3830677.0,3830677.0,1915338.5,547239.5714285715,11266208373.274622,11266208373.274622,5633104186.637311,1609458339.0392318
56,Sweden,SWE,1964,Winter,7661354.0,22532416746.549244,2941.048899,3.0,3.0,1.0,7.0,9.0,9.0,10.0,28.0,9.13676616430986e-07,3.654706465723944e-06,3.1066352441186867e-10,1.2426540976474747e-09,55.0,16.0,478834.625,139297.34545454546,2.0884036946993966e-06,7.100880557985571e-10,2553784.6666666665,2553784.6666666665,7661354.0,478834.625,7510805582.183082,7510805582.183082,22532416746.549244,1408276046.6593275
57,Trinidad and Tobago,TTO,1964,Summer,913399.0,711893367.5891833,779.3892566,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,3.2844353891344307e-06,3.2844353891344307e-06,4.214114271298041e-09,4.214114271298041e-09,4.0,4.0,228349.75,228349.75,4.379247185512574e-06,5.618819028397388e-09,0.0,913399.0,456699.5,228349.75,0.0,711893367.5891833,355946683.79459167,177973341.89729583
58,Turkiye,TUR,1964,Summer,30612821.0,11177777778.857014,365.1338692,2.0,3.0,1.0,6.0,9.0,5.0,1.0,15.0,1.9599631148008215e-07,4.899907787002054e-07,5.36779324003839e-10,1.3419483100095972e-09,38.0,13.0,2354832.3846153845,805600.552631579,4.246586748735114e-07,1.1630218686749843e-09,15306410.5,10204273.666666666,30612821.0,2354832.3846153845,5588888889.428507,3725925926.285671,11177777778.857014,859829059.912078
59,United Kingdom,GBR,1964,Summer,54000000.0,94407558372.0,1748.288118,4.0,12.0,2.0,18.0,6.0,18.0,14.0,38.0,3.3333333333333335e-07,7.037037037037037e-07,1.9066270021594532e-10,4.0251014490032904e-10,68.0,38.0,1421052.6315789474,794117.6470588235,7.037037037037037e-07,4.025101449003291e-10,13500000.0,4500000.0,27000000.0,1421052.6315789474,23601889593.0,7867296531.0,47203779186.0,2484409430.8421054
60,United Kingdom,GBR,1964,Winter,54000000.0,94407558372.0,1748.288118,1.0,0.0,0.0,1.0,7.0,18.0,14.0,39.0,1.851851851851852e-08,7.222222222222222e-07,1.0592372234219187e-11,4.1310251713454814e-10,71.0,3.0,18000000.0,760563.3802816902,5.555555555555556e-08,3.1777116702657556e-11,54000000.0,0.0,0.0,18000000.0,94407558372.0,0.0,0.0,31469186124.0
61,United States,USA,1964,Summer,191889000.0,685800000048.465,3573.941185,36.0,26.0,28.0,90.0,73.0,51.0,47.0,171.0,4.690211528539937e-07,8.91140190422588e-07,1.3123359579125077e-10,2.4934383200337637e-10,368.0,188.0,1020686.170212766,521437.5,9.79733074850565e-07,2.741324000972793e-10,5330250.0,7380346.153846154,6853178.571428572,1020686.170212766,19050000001.34625,26376923078.787117,24492857144.58804,3647872340.683324
62,United States,USA,1964,Winter,191889000.0,685800000048.465,3573.941185,1.0,2.0,4.0,7.0,74.0,53.0,51.0,178.0,3.6479422999755066e-08,9.276196134223432e-07,1.0207057450430614e-11,2.5955088945380704e-10,379.0,11.0,17444454.545454547,506303.43007915566,5.7324807571043686e-08,1.6039661707819538e-11,191889000.0,95944500.0,47972250.0,17444454.545454547,685800000048.465,342900000024.2325,171450000012.11624,62345454549.86045
63,Argentina,ARG,1968,Summer,23112971.0,26436857251.861588,1143.810428,0.0,0.0,2.0,2.0,0.0,2.0,3.0,5.0,8.653149783297008e-08,2.1632874458242526e-07,7.565195745266459e-11,1.8912989363166144e-10,7.0,2.0,11556485.5,3301853.0,8.653149783297008e-08,7.565195745266459e-11,0.0,0.0,11556485.5,11556485.5,0.0,0.0,13218428625.930794,13218428625.930794
64,Australia,AUS,1968,Summer,12009000.0,32712509803.356,2723.999484,5.0,7.0,5.0,17.0,19.0,17.0,21.0,57.0,1.4156049629444583e-06,4.746440169872596e-06,5.196788660421265e-10,1.7424526684941895e-09,112.0,34.0,353205.8823529412,107223.21428571428,2.8312099258889166e-06,1.0393577320842532e-09,2401800.0,1715571.4285714286,2401800.0,353205.8823529412,6542501960.6712,4673215686.193714,6542501960.6712,962132641.2751764
65,Austria,AUT,1968,Summer,7415403.0,12440625312.551785,1677.673528,0.0,2.0,2.0,4.0,6.0,10.0,8.0,24.0,5.394177497837946e-07,3.236506498702768e-06,3.215272463807956e-10,1.929163478284773e-09,46.0,6.0,1235900.5,161204.41304347827,8.09126624675692e-07,4.822908695711933e-10,0.0,3707701.5,3707701.5,1235900.5,0.0,6220312656.275892,6220312656.275892,2073437552.091964
